Exercício,Categoria,Vídeo,alongamento,contraindicacoes,rehab_tags,movement_pattern
Peitorais Unilateral,Peitoral Maior,https://youtube.com/shorts/KYmbJJKl-hU?feature=share,1,lesao_manguito_rotador;recuperacao_cirurgia_mamaria;instabilidade_acromioclavicular;fratura_omoplata;epicondilite_lateral,reabilitacao_ombro;fortalecimento_peitoral;simetria_muscular;reeducacao_motora;progressao_exercicios,push
Peitorais Bilateral na Barra,Peitoral Maior,https://youtube.com/shorts/yYeof5A14io?feature=share,1,lesao_ombro;instabilidade_acromioclavicular;artrose_acromioclavicular;recuperacao_cirurgica_ombro;epicondilite_lateral;nenhuma,fortalecimento_peitoral;estabilizacao_ombro;reeducacao_muscular;reabilitacao_superior;progressao_exercicios,push
Ombro - Cápsula posterior do ombro e Manguito Internos com bastão,Manguito Rotador,https://youtube.com/shorts/ClE4ProhCt4?feature=share,1,luxacao_ombro_aguda;fratura_omoplata;rotura_manguito_rotador_grave;artrite_severa;instabilidade_ombro_nao_estabilizada;processo_inflamatorio_agudo,manguito_rotador;capsula_posterior;reabilitacao_ombro;alongamento;estabilidade_articular;recuperacao_tendinopatia,mobility
Ombro - Mobilidade com bastão - Alongamento,Manguito Rotador,https://youtube.com/shorts/LWVQRP5Eit0,1,luxacao_acromioclavicular;fratura_humeral;instabilidade_ombro;tenossinovite_bicipital;nenhuma,mobilidade_ombro;alongamento_manguito_rotador;reabilitacao_ombro;prevencao_lesao;recuperacao_articular,mobility
Linha Frontal Abdome,Reto Abdominal,https://youtube.com/shorts/whrA8mNESO8?feature=share,1,hernia_abdominal;distensao_muscular_abdominal;gravidez_terceiro_trimestre;cirurgia_abdominal_recente;escoliose_grave;dores_lombares_agudas;hernia_de_discos_lombares,estabilizacao_lombar;reabilitacao_abdominal;core_stability;fortalecimento_reto_abdominal;reabilitacao_postural,isometric
Ombro mobilidade no solo,Manguito Rotador,https://youtube.com/shorts/JyY2BFbEiDY?feature=share,1,luxacao_acromioclavicular;fratura_omoplata;instabilidade_acromioclavicular;tenossinovite_subacromial;artrose_glenoumeral_aguda;nenhuma,mobilidade_articular;recuperacao_ombro;reabilitacao_manguito_rotador;alongamento_dorso;prevencao_lesao,mobility
Linha Lateral,Deltoide Lateral,https://youtube.com/shorts/BqbTKyB6Vb4?feature=share,1,lesao_manguito_rotador;ombro_instavel;capsulite_adesiva;artrose_acromioclavicular;tendinopatia_subacromial,reabilitacao_ombro;fortalecimento_deltoides;estabilidade_acromioclavicular;recuperacao_manguito_rotador,push
Dorsal e Redondo Maior,Latíssimo do Dorso,https://youtube.com/shorts/fFE-HZxpp-A?feature=share,1,lesao_ligamento_acromioclavicular;hernia_de_disk_lombar;artrose_acromioclavicular;instabilidade_glenoumeral;fratura_omoplata,reabilitacao_dorsal;fortalecimento_latissimo;recuperacao_tendao;estabilidade_scapular;melhora_postural,pull
Linha anterior - Mobilidade de Quadril e tronco,Iliopsoas,https://youtube.com/shorts/v5jWGwzOMkU?feature=share,1,hernia_lombar;escoliose_grave;artrose_severa_de_quadril;fratura_recente_lombar;instabilidade_lombar,mobilidade_lombar;flexibilidade_iliopsoas;reabilitacao_lombar;alongamento_dorsal;estabilidade_pélvica,mobility
Quadrado Lombar e lombares - Inclinação lateral sentado com pernas afastadas,Eretores da Espinha,https://youtube.com/shorts/928U9l2Be4A?feature=share,1,hernia_de_discos_lombares;estenose_lombar;fratura_lombar;radiculopatia_ativa;inflamacao_aguda_da_coluna;nenhuma,estabilizacao_lombar;flexibilidade_lombar;correcao_postural;reeducacao_muscular;alivio_de_tensao,isometric
Lombar Paravertebrais e Glúteos,Eretores da Espinha,https://youtube.com/shorts/9X9lcgCnL48?feature=share,1,hernia_de_discos_lombar_ativa;fratura_lombar;radiculopatia_nao_estabilizada;espondilolistese_grau_iii_ou_iv;infeccao_aguda_da_coluna;neoplasia_lombar,estabilizacao_lombar;fortalecimento_paravertebral;reeducacao_postural;reabilitacao_dor_lombar;ativacao_glutea,isometric
Mobilidade torácica no solo,Eretores da Espinha,https://youtube.com/shorts/QwPFcFC3k78?feature=share,1,fratura_vertebral;hernia_discal_aguda;radiculopatia_ativa;osteoporose_grave;instabilidade_vertebral;nenhuma,reabilitacao_dor_lombar;mobilidade_toracica;correcao_postural;alongamento_espinhal;recuperacao_neurologica,mobility
Quadríceps - Puxar o pé em pé,Quadríceps,https://youtube.com/shorts/3lUvx6DZaiI?feature=share,1,lesao_quadriceps;hernia_lombar;instabilidade_joelho;artrose_grave_joelho;nervopatia_femoral,fortalecimento_quadriceps;reabilitacao_pós_cirurgia;estabilidade_joelho;controle_neuromuscular,isometric
Iliopsoas,Iliopsoas,https://youtube.com/shorts/0QjJPTPqRYU?feature=share,1,hernia_lombar;espondilolistese;sciatica_aguda;inflamacao_psoas;fratura_lombar,flexao_de_quadril;estabilizacao_lombar;alongamento;reabilitacao_lombar;reabilitacao_de_quadril,hinge
Reto Femoral e Iliopsoas,Iliopsoas,https://youtube.com/shorts/ZuRnJ4gcfPA?feature=share,1,hernia_lombar;escoliose_grave;lesao_femoral;ciatalgia;nenhuma,flexao_do_quadril;reabilitacao_lombar;alongamento_iliopsoas;estabilidade_pelvica;reeducacao_postural,hinge
Mobilidade de Tornozelo e Panturrilha,Gastrocnêmio,https://youtube.com/shorts/Hsmr6hTD7Mg?feature=share,1,fratura_recente;lesao_tendao_de_gole;artrose_grave;edema_ativo;infeccao_local,reabilitacao_ancora;recuperacao_lesao_panturrilha;mobilidade_articular;alongamento_dinamico;prevencao_lesao,mobility
Adutores Dinâmico,Adutores,https://youtube.com/shorts/U1wfphAn9iE?feature=share,1,hernia_ingual;lesao_adutores;artrose_quadril;dores_lombares_agudas;osteoporose_grave,fortalecimento_adutores;estabilidade_pelvica;reabilitacao_quadril;recuperacao_lesao_muscular,unilateral
Panturrilha em pé,Gastrocnêmio,https://youtube.com/shorts/fop16jBpPq4?feature=share,1,tendinopatia_achiles;fratura_tarsal;edema_agudo;hipertensao_nao_controlada;neuropatia_periferica,fortalecimento_panturrilha;recuperacao_lesao_achiles;reabilitacao_post_cirurgica;equilibrio;propriocepcao,isometric
Panturrilha inclinado na parede,Gastrocnêmio,https://youtube.com/shorts/Et0g-q7Vay4?feature=share,1,tendinopatia_achilles;fratura_tarsal;artrose_talocrural;edema_agudo;neuropatia_periferica,fortalecimento_panturrilha;reabilitacao_achilles;estabilidade_ankle;flexibilidade_calf,isometric
Isquiotibiais em pé,Isquiotibiais,https://youtube.com/shorts/KRNaHXlRXMQ?feature=share,1,lesao_ligamento_cruzado_anterior;hernia_lombar;escoliose_grave;distensao_isquiotibial;nenhuma,reabilitacao_lombar;recuperacao_isquiotibiais;estabilidade_lombar;alongamento_ativo;fortalecimento_posterior,hinge
Piriforme no espaldar - Alongamento,Glúteo Médio/Mínimo,https://youtube.com/shorts/aG9HXXZEAao?feature=share,1,hernia_lombar;sciatica_aguda;artrose_femoroacetabular;lesao_muscular_aguda;instabilidade_pelve_lombar,alongamento;reabilitacao_lombar;reabilitacao_pelvica;liberacao_miofascial;prevencao_dor_lombar,mobility
Adutor - Borboleta sentado,Adutores,https://youtube.com/shorts/Q-_2uuUC2RA?feature=share,1,hernia_lombar;lesao_adutores;artrose_coxo_femoral;instabilidade_pelvica;dores_inguinais;nenhuma,reabilitacao_adutores;estabilidade_pelvica;alongamento_muscular;recuperacao_lesao;fortalecimento_excentrico,mobility
Isquiotibiais deitado unilateral com elástico,Isquiotibiais,https://youtube.com/shorts/sk_33pZobvw?feature=share,1,lesao_lombar_aguda;hernia_lombar;lesao_cotovelo;instabilidade_joelho;nenhuma,reabilitacao_isquiotibiais;fortalecimento_unilateral;alongamento_isquiotibiais;estabilidade_lombar;recuperacao_lesao_muscular,unilateral
Glúteos - Puxar a coxa contra o peito,Glúteo Maior,https://youtube.com/shorts/K3MU9iv26gU?feature=share,1,hernia_lombar;sciatica_aguda;lesao_ligamentar_lombar;artrose_femoroacetabular,reabilitacao_lombar;fortalecimento_gluteo;estabilidade_pelvica;alongamento_isquiotibial,hinge
Quadríceps - Miofascial,Quadríceps,https://youtube.com/shorts/KP20qZ3M9so?feature=share,1,fratura_reciente;artrose_grave;inflamacao_aguda;hiperextensao_knee;jovem_com_doenca_de_Osgood_Schlatter,liberacao_miofascial;recuperacao_pós_cirurgia;reducao_de_tensao;melhora_da_amplitude_de_movimento;prevencao_de_lesao,mobility
Banda Iliotibial - Miofascial,Abdutores,https://youtube.com/shorts/P4lxM7k3jw0?feature=share,1,sindrome_compressao_iliotibial_agravada;lesao_muscular_aguda;edema_localizado;infeccao_pele;pos_cirurgia_recente,liberacao_miofascial;reabilitacao_quadriceps;reabilitacao_iliotibial;prevencao_tendinopatia;recuperacao_ativa,mobility
Adutor - Miofascial,Adutores,https://youtube.com/shorts/Jc3iKR014rY?feature=share,1,hernia_inguinal;lesao_muscular_aguda;edema_grave;artrite_do_quadril_agravada;neuralgia_ciatica_agravada,liberacao_miofascial;flexibilidade;recuperacao_muscular;prevencao_de_lesao;reabilitacao_pelvica,mobility
Posterior de coxa - Miofascial,Isquiotibiais,https://youtube.com/shorts/SgbYWohQZJ0?feature=share,1,lesao_aguda_isquiotibial;hiperextensao_lombar;ciatica_ativa;hiperflexibilidade_excessiva;nenhuma,recuperacao_muscular;liberacao_miofascial;flexibilidade;prevencao_de_lesao;reabilitacao_lombar,mobility
Glúteos - Miofascial,Glúteo Maior,https://youtube.com/shorts/NK9yX4yeh0A?feature=share,1,hernia_lombar;sciatica_aguda;lesao_muscular_aguda;hiperextensao_excessiva;inflamacao_local,liberacao_miofascial;recuperacao_muscular;alivio_dor;flexibilidade;prevencao_lesao,mobility
Panturrilhas - Miofascial,Gastrocnêmio,https://youtube.com/shorts/2Fo22fk09VI?feature=share,1,trombose_deep_vein_thrombosis;fratura_tibial;lesao_nervo_sural;edema_agudo;fasciite_plantar_aguda;nenhuma,recuperacao_miofascial;alivio_dor;flexibilidade;prevencao_lesao;reabilitacao_panturrilha,mobility
Ombro Flex/Ext no banco com halter dinâmico - Mobilidade,Deltoide Anterior,https://youtube.com/shorts/p3XGFsQiOrU?feature=share,1,lesao_acromioclavicular;instabilidade_glenoumeral;capsulite_adesiva;rotura_muscular_aguda;artrose_acromioclavicular,mobilidade_articular;recuperacao_amplitude_movimento;reabilitacao_ombro;alongamento_dinamico,mobility
Redondo maior Peitoral e Dorsal Cadeirinha,Latíssimo do Dorso,https://youtube.com/shorts/ZFBNah3YjsQ?feature=share,1,lesao_luxacao_ombro;instabilidade_acromioclavicular;artrose_ombro;fratura_omoplata;neuropatia_nervo_radial;nenhuma,reabilitacao_ombro;fortalecimento_dorsal;estabilidade_scapular;recuperacao_tendao;correcao_postural,pull
Mobilidade torácica - rotação torácica com braço estendido,Eretores da Espinha,https://youtube.com/shorts/69Cln1fz7WI?feature=share,1,fratura_vertebral;hernia_discal_aguda;radiculopatia_ativa;osteoporose_grave;artrose_severa;instabilidade_vertebral,reabilitacao_dor_lombar;mobilidade_toracica;recuperacao_postural;alongamento_espinhal;tratamento_dor_cervical,rotation
Paravertebrais e Quadrado Lombar,Eretores da Espinha,https://youtube.com/shorts/AM5Ubl2bCog?feature=share,1,hernia_de_discos_lombar;fratura_lombar;radiculopatia;espondilolistese_grave;inflamacao_aguda_da_coluna;nenhuma,estabilizacao_lombar;reeducacao_postural;fortalecimento_excentrico;reabilitacao_dor_lombar;tratamento_dor_cronica,isometric
Lombar - Flexão de tronco no solo pés no solo,Eretores da Espinha,https://youtube.com/shorts/3kvjK2-yzRg?feature=share,1,hernia_de_discos_lombar;estenose_lombar;fratura_lombar;espondilolistese_grave;inflamacao_aguda;radiculopatia_ativa;osteoporose_grave,reabilitacao_lombar;estabilizacao_postural;fortalecimento_isometrico;reeducacao_muscular;alivio_de_dor_lombar,isometric
Panturrilha no degrau - Alongamento,Gastrocnêmio,https://youtube.com/shorts/jNvU7t3hv_A?feature=share,1,tendinopatia_acalcea;fratura_tarsal;edema_agudo;instabilidade_articular_ankle;neuropatia_periferica,alongamento;recuperacao_tendao_acalileo;reabilitacao_ankle;flexibilidade_muscular;prevencao_lesao,mobility
Iliopsoas e reto femoral deitado de lado - Alongamento,Iliopsoas,https://youtube.com/shorts/q9IrfTi0O0k?feature=share,1,hernia_lombar;lesao_ligamentar_lombar;artrose_femoroacetabular;instabilidade_lombar;neuropatia_femoral;nenhuma,alongamento;reabilitacao_lombar;reabilitacao_do_quadril;flexibilidade;prevencao_de_lesoes;reabilitacao_psoas,mobility
Adutores Borboleta Deitado,Adutores,https://youtube.com/shorts/ErA4_m18JiI?feature=share,1,hernia_inginal;lesao_adutores;artrose_coxo_femoral;dores_lombares_agudas;osteoporose_grave,fortalecimento_adutores;reabilitacao_pelvica;estabilidade_pelvica;recuperacao_lesao_muscular,isometric
"Adutor, Glúteo, Panturrilha - Agacho profundo",Quadríceps,https://youtube.com/shorts/NIT49gxJcoQ?feature=share,1,lombalgia_aguda;lesao_ligamentar_cruzada;artrose_grave_knee;instabilidade_lombar;hernia_lombar,fortalecimento_quadriceps;estabilidade_lombar;reabilitacao_knee;equilibrio;controle_neuromuscular,squat
Posterior e Adutor - Alcançar o pé em pé,Isquiotibiais,https://youtube.com/shorts/mAmI0GZnkYI?feature=share,1,hernia_lombar;lesao_isquiotibial;escoliose_grave;ciatalgia_aguda;hiperlordose,alongamento;reabilitacao_lombar;recuperacao_isquiotibial;flexibilidade;estabilidade_lombo_pelvica,mobility
Rotadores laterais - Glúteo e Piriforme,Glúteo Médio/Mínimo,https://youtube.com/shorts/LrDkezKcoC0?feature=share,1,hernia_lombar;sciatica_aguda;fratura_acetabular;artrose_grave;instabilidade_articular,fortalecimento_gluteo_medio;estabilizacao_pelve;reabilitacao_lombar;prevencao_lesao_coxa;equilibrio_postural,isometric
Isquiotibiais Sentado com Elástico,Isquiotibiais,https://youtube.com/shorts/PN5iehjL7p0?feature=share,1,lesao_ligamento_cruzado_anterior;hernia_lombar;escoliose_grave;ciatalgia_aguda;instabilidade_lombar,reabilitacao_lombar;fortalecimento_isquiotibiais;estabilidade_pelve;recuperacao_lesao_muscular,hinge
Glúteo - Rotação oposta de quadril e tronco,Glúteo Médio/Mínimo,https://youtube.com/shorts/PiiXHq9cn2Y?feature=share,1,hernia_lombar_aguda;instabilidade_lombar;artrose_grave_do_quadril;fratura_recente_quadril;radiculopatia_ativa,estabilizacao_lombar;fortalecimento_gluteo_medio;correcao_de_desalinhamento_pelve;reeducacao_postural;melhora_da_oscilacao_pelve,rotation
Passo lateral com elástico no pé,Glúteo Médio/Mínimo,https://youtube.com/shorts/cmax4KO3FO4?feature=share,0,lesao_quadril;artrose_grave;instabilidade_acetabular;fratura_recente;dores_lombares_agudas;nenhuma,estabilidade_pelve;fortalecimento_abdutores;reeducacao_motora;prevencao_lesoes;equilibrio;controle_dinamico,unilateral
Abdução de quadril por trás na polia,Glúteo Médio/Mínimo,https://youtube.com/shorts/enlapE0Mj5Y?feature=share,0,hernia_lombar_aguda;artrose_grave_quadril;lesao_muscular_aguda;instabilidade_articular_quadril;fratura_recente_femur,fortalecimento_gluteo_medio;estabilidade_pelve;reabilitacao_quadril;correcao_postural;prevencao_lesao,unilateral
Coice na polia,Tríceps Braquial,https://youtube.com/shorts/iELNdw6ATmg?feature=share,0,lesao_ombro;tenis_elbow;epicondilite_lateral;instabilidade_cotovelo;artrose_cotovelo,fortalecimento_triceps;reabilitacao_cotovelo;estabilidade_ombro;amplitude_movimento,pull
Elevação pélvica com barra e elástico,Glúteo Maior,https://youtube.com/shorts/Pixmi8wjc34?feature=share,0,lombalgia_aguda;hernia_lombar;hiperlordose_grave;artrose_lombar;instabilidade_lombar;nenhuma,reabilitacao_lombar;fortalecimento_gluteo;estabilizacao_lombar;reabilitacao_postural;ativacao_gluteal,isometric
Cadeira flexora unilateral,Isquiotibiais,https://youtube.com/shorts/lSv7UMZrveM?feature=share,0,lesao_isquiotibial_aguda;hernia_lombar;instabilidade_knee;joint_stiffness_post_surgery;neuropatia_periferica,fortalecimento_isquiotibiais;reabilitacao_posterior_thigh;equilibrio_unilateral;recuperacao_pos_lesao,hinge
Mesa flexora,Isquiotibiais,https://youtube.com/shorts/gPsy2sk_9j8?feature=share,0,lesao_lombar_aguda;hernia_lombar;lesao_meniscal_grave;instabilidade_knee;pos_cirurgia_quadriceps_recente,isquiotibiais;reabilitacao_lombar;fortalecimento_posterior;estabilidade_knee;reabilitacao_psoas,hinge
Stiff com halteres,Isquiotibiais,https://youtube.com/shorts/U_0HMpyCPQE?feature=share,0,hernia_lombar;espondilolistese;lesao_isquiotibial_aguda;ciatalgia_ativa;hiperlordose_lombar,reabilitacao_lombar;fortalecimento_isquiotibiais;estabilidade_lombar;correcao_postural;progressao_de_carga,hinge
Panturrilha em pé na máquina,Gastrocnêmio,https://youtube.com/shorts/wuhvUEmiWH8?feature=share,0,tendinopatia_achiles;fratura_tibial;artrose_talocrural;edema_agudo;neuropatia_periferica;nenhuma,fortalecimento_panturrilha;recuperacao_lesao_achiles;reabilitacao_ortopedica;equilibrio;propriocepcao,isometric
Supino reto com halteres,Peitoral Maior,https://youtube.com/shorts/SmQ_eMsC33A?feature=share,0,lesao_ombro;instabilidade_acromioclavicular;recuperacao_cirurgia_mamaria;epicondilite_lateral;hipertensao_nao_controlada,fortalecimento_peitoral;estabilizacao_ombro;reeducacao_motora;reabilitacao upper_body,push
Peck deck,Peitoral Maior,https://youtube.com/shorts/KCD9K319huo?feature=share,0,lesao_acromioclavicular;instabilidade_glenoumeral;recuperacao_cirurgia_ombro;capsulite_adesiva;tendinopatia_subescapular;nenhuma,reabilitacao_ombro;fortalecimento_peitoral;estabilidade_glenoumeral;correcao_postural;reeducacao_muscular,push
Crucifixo reto com halteres,Peitoral Maior,https://youtube.com/shorts/Vr_gb3xFJsY?feature=share,0,lesao_acromioclavicular;instabilidade_glenoumeral;capsulite_adesiva;artrose_do_ombro;recuperacao_pos_cirurgia_ombro;nenhuma,fortalecimento_peitoral;estabilidade_ombro;amplitude_movimento;reeducacao_muscular;reabilitacao_torax,push
Supino inclinado no smith,Peitoral Maior,https://youtube.com/shorts/1FuL4fMj7dY?feature=share,0,lesao_ombro;instabilidade_acromioclavicular;recuperacao_cirurgia_ombro;epicondilite_lateral;hipertensao_nao_controlada,reabilitacao_ombro;fortalecimento_peitoral;estabilidade_acromioclavicular;reeducacao_motora;progressao_exercicios,push
Elevação lateral com halteres PE,Deltoide Lateral,https://youtube.com/shorts/j0UvNxWUGDI?feature=share,0,tendinopatia_do_manguito_rotador;lesao_do_deltoide;ombro_congelado;instabilidade_acromioclavicular;artrose_do_ombro;recuperacao_pos_cirurgica_ombro,reabilitacao_ombro;fortalecimento_deltoide;estabilidade_acromioclavicular;melhora_amplitude_movimento;reeducacao_muscular,unilateral
Elevação lateral de lado no banco inclinado,Deltoide Lateral,https://youtube.com/shorts/gb5EiXw185k?feature=share,0,tendinopatia_do_manguito_rotador;lesao_do_deltoide;ombro_congelado;instabilidade_acromioclavicular;artrite_acromioclavicular;fratura_recente_omoplata,reabilitacao_ombro;fortalecimento_deltoide;estabilidade_acromioclavicular;melhora_amplitude_movimento,push
Tríceps pulley corda de costas,Tríceps Braquial,https://youtube.com/shorts/ps9UG2Momkg?feature=share,0,lesao_tendao_triceps;artrose_ombro;epicondilite_lateral;instabilidade_ombro;tenossinovite_cotovelo;nenhuma,fortalecimento_triceps;reabilitacao_cotovelo;estabilidade_ombro;reeducacao_muscular;recuperacao_lesao_tendinea,pull
Tríceps testa na polia corda,Tríceps Braquial,https://youtube.com/shorts/jA4Bdv7t5ww?feature=share,0,lesao_ombro;epicondilite_lateral;instabilidade_articular_ombro;tenossinovite_cotovelo;restricao_cotovelo,fortalecimento_triceps;reabilitacao_cotovelo;estabilidade_ombro;progressao_exercicio,pull
Tríceps francês com um halter,Tríceps Braquial,https://youtube.com/shorts/J6yXF22pXMc?feature=share,0,lesao_ombro;tenossinovite_tendao_triceps;epicondilite_lateral;instabilidade_acromioclavicular;artrose_ombro;nenhuma,fortalecimento_triceps;reabilitacao_ombro;estabilidade_cotovelo;progressao_exercicio;reeducacao_muscular,pull
Abdominal crunch com pernas elevadas,Reto Abdominal,https://youtube.com/shorts/QWTYIJQ7tDc?feature=share,0,hernia_de_discos_lombares;hiperlordose_grave;distensao_abdominal_aguda;protrusao_de_discos_lombares;escoliose_grave_com_dor,core_stabilization;reabilitacao_lombar;fortalecimento_abdominal;controle_postural;exercicio_de_baixo_impacto,isometric
Flexão de quadril em pé com elástico no pé,Iliopsoas,https://youtube.com/shorts/uzYAqYOCTBQ?feature=share,0,hernia_lombar;ciatica;lesao_femoral;instabilidade_lombar;hiperextensao_acetabular;nenhuma,fortalecimento_iliopsoas;reabilitacao_lombar;estabilidade_pelvica;correcao_postural;flexibilidade_hip,hinge
Cadeira extensora quadril 40°,Quadríceps,https://youtube.com/shorts/UE19-gI7CxQ?feature=share,0,lesao_ligamento_cruzado_anterior;artrose_grave_quadril;instabilidade_articular_quadril;hernia_inginal;dores_lombares_agudas,fortalecimento_quadriceps;reabilitacao_pcos;estabilidade_articular;controle_femoral,machine
Leg press 45°,Quadríceps,https://youtube.com/shorts/0r1x4-G13n4?feature=share,0,lombalgia_aguda;hernia_lombar;lesao_cotovelo;instabilidade_knee;jovem_com_fopa,fortalecimento_quadriceps;reabilitacao_knee;estabilidade_lombar;progressao_exercicio;controle_articular,squat
Agachamento no smith,Quadríceps,https://youtube.com/shorts/L6FsmaXClPQ?feature=share,0,lombalgia_aguda;lesao_ligamento_cruzado_anterior;instabilidade_patelar;hernia_lombar;nenhuma,fortalecimento_quadriceps;estabilidade_lombar;controle_neuromuscular;reeducacao_motora;progressao_exercicios,squat
Afundo no smith,Quadríceps,https://youtube.com/shorts/rIbBowCr_tk?feature=share,0,lesao_ligamento_cruzado_anterior;hernia_lombar;instabilidade_knee;joint_pain_knee;patellofemoral_pain_syndrome;nenhuma,quadriceps_strengthening;balance_training;gait_retraining;posterior_chain_engagement;unilateral_leg_training,unilateral
Cadeira adutora,Adutores,https://youtube.com/shorts/xNFVDu1OOd4?feature=share,0,hernia_ingualar;lesao_adutores;artrose_femorotibial_grave;dores_lombares_agudas;instabilidade_knee,fortalecimento_adutores;reabilitacao_quadril;estabilidade_pelvica;recuperacao_lesao_muscular,isometric
Panturrilha no leg press,Gastrocnêmio,https://youtube.com/shorts/RInqfn-g7NI?feature=share,0,hernia_lombar;lesao_tendao_de_Achilles;artrose_talocrural;dores_lombares_agudas;hipertensao_nao_controlada,fortalecimento_panturrilha;reabilitacao_tendao_de_achilles;edema_membros_inferiores;propriocepcao_panturrilha,isometric
Puxada frente pegada supinada,Latíssimo do Dorso,https://youtube.com/shorts/NPeHk9Rie-k?feature=share,0,tendinopatia_acromial;lesao_manguito_rotador;hiperextensao_cervical;instabilidade_acromioclavicular;artrose_ombro;epicondilite_lateral,fortalecimento_latissimo;estabilizacao_ombro;reeducacao_postural;reabilitacao_dor_lombar;melhora_cinematica_cintura_scapular,pull
Puxada frente,Latíssimo do Dorso,https://youtube.com/shorts/8DbR1K04Tcc?feature=share,0,lesao_manguito_rotador;hiperextensao_cervical;artrose_acromioclavicular;epicondilite_lateral;instabilidade_glenoumeral;nenhuma,fortalecimento_latissimo;estabilidade_cintura_scapular;reeducacao_postural;recuperacao_tendao_bicipital;melhora_amplitude_movimento,pull
Remada unilateral com halteres apoio bilateral,Latíssimo do Dorso,https://youtube.com/shorts/t-2Gmk2gf24?feature=share,0,lesao_lombar_aguda;instabilidade_acromioclavicular;rotura_manguito_rotador;hiperextensao_cervical;nenhuma,reabilitacao_dorsal;estabilizacao_scapular;fortalecimento_posterior;correcao_postural;recuperacao_lombar,pull
Remada alta em pé na polia alta,Deltoide Lateral,https://youtube.com/shorts/_Z6lA9LblAU?feature=share,0,tendinopatia_acromial;rotura_manguito_rotador;capsulite_adhesiva;ombro_doloroso;instabilidade_acromioclavicular,reabilitacao_ombro;fortalecimento_deltoides;estabilidade_acromioclavicular;melhora_amplitude_movimento,pull
Lombar no banco romano,Eretores da Espinha,https://youtube.com/shorts/M86cUuircDU?feature=share,0,hernia_de_discos_lombares;fratura_lombar;espondilolistese_grave;radiculopatia_ativa;inflamacao_aguda_da_coluna;nenhuma,estabilizacao_lombar;fortalecimento_eretores;reeducacao_postural;reabilitacao_dor_lombar;controle_neuromuscular,isometric
Rosca direta com halteres no banco inclinado,Bíceps Braquial,https://youtube.com/shorts/DLOxGX6CT4k?feature=share,0,lesao_queloidiana_bicipital;instabilidade_acromioclavicular;epicondilite_lateral;epicondilite_medial;subluxacao_ombro;artrose_ombro;nenhuma,biceps_reabilitacao;estabilidade_ombro;fortalecimento_concentrico;reeducacao_muscular;progressao_exercicio,pull
Rosca unilateral na polia alta,Bíceps Braquial,https://youtube.com/shorts/ndHTwteSyuw?feature=share,0,lesao_tendao_bicipital;instabilidade_acromioclavicular;epicondilite_lateral;epicondilite_medial;subluxacao_ombro;tenossinovite,reabilitacao_biceps;recuperacao_lesao_ombro;fortalecimento_isolado;controle_neuromuscular;progressao_exercicio,pull
Rosca direta barra W,Bíceps Braquial,https://youtube.com/shorts/vkZmFzAmrKg?feature=share,0,tendinopatia_bicipital;lesao_ligamentar_cotovelo;epicondilite_lateral;epicondilite_medial;instabilidade_cotovelo;fratura_cotovelo;nenhuma,fortalecimento_biceps;reabilitacao_cotovelo;reabilitacao_antebraco;progressao_exercicios;isometria_inicial,isometric
Prancha contralateral,Transverso do Abdômen,https://youtube.com/shorts/3sbeGx0OYMg?feature=share,0,hernia_abdominal;lesao_cervical;hiperlordose_grave;dores_lombares_agudas;instabilidade_articular,core_stabilization;reabilitacao_lombar;ativacao_transverso_abdominis;equilibrio_postural;treinamento_funcional,isometric
Cadeira flexora,Isquiotibiais,https://youtube.com/shorts/ZRmtLcwcNm4?feature=share,0,lesao_ligamento_cruzado_anterior;hernia_lombar;esforco_excessivo_lombar;instabilidade_knee;joint_pain_severe;nenhuma,reabilitacao_isquiotibiais;fortalecimento_posterior;estabilidade_knee;recuperacao_lesao_muscular;reeducacao_muscular,hinge
Flexão de joelho unilateral na máquina,Isquiotibiais,https://youtube.com/shorts/mmlt1BpwJRY?feature=share,0,lesao_meniscal_aguda;instabilidade_knee;artrite_reumatoide_ativa;fratura_recente;hernia_lombar_aguda,fortalecimento_isquiotibiais;reabilitacao_posterior_thigh;equilibrio_muscular;recuperacao_lesao_muscular;estabilidade_knee,unilateral
Agachamento hack A. invertido com elástico,Quadríceps,https://youtube.com/shorts/mXjxHYn9L8g?feature=share,0,lesao_ligamento_cruzado_anterior;hernia_lombar;escoliose_grave;instabilidade_patelar;artrose_grave_quadril,fortalecimento_quadriceps;estabilidade_joelho;reabilitacao_lombar;controle_neuromuscular,squat
Cadeira abdutora 90°,Abdutores,https://youtube.com/shorts/IoKhjpaazU4?feature=share,0,lesao_quadril;hernia_inguinal;nocao_articular_inestavel;artrose_grave;pos_cirurgia_acetabulo,fortalecimento_abdutores;estabilidade_pelve;reabilitacao_quadril;prevencao_lesao,unilateral
Abdução de Quadril por trás na Polia,Glúteo Médio/Mínimo,https://youtube.com/shorts/enlapE0Mj5Y?feature=share,0,artrose_de_quadril;lesao_do_ligamento_iliofemoral;hiperextensao_excessiva;instabilidade_acetabular;fratura_recente;dores_lombares_agudas;nenhuma,fortalecimento_gluteo_medio;estabilizacao_pelve;reabilitacao_lateral_do_quadril;correcao_de_trendelenburg;prevencao_lesoes_ligamentares,unilateral
